Instance, X-n120-k6
capacity, 21
min_trucks, 6
output_file, output/X-n120-k6.log
Start date, 2022-06-15
Start time, 10-21-50
capacity, 21
num_vehicles, 6
methods, ['ng8', 'cyc2', 'SPPRC']
max_vars, 10000
time_limit, 120
farley, False
Number of routes, number of iterations, time, max_it, max_stale_it
52823, 20000, 0.01, 20000.0, 20
method, duration, pricing_success, upper_bound, lower_bound, abort_early, num_paths
ng8, 1.55, 1, 13023.540896438217, -22728.246510505305, False, 2061
cyc2, 3.77, 1, 13023.540896438217, -10559.362685351583, False, 10417
SPPRC, 0.51, 1, 13023.540896438217, -24433.121788324737, False, 1655
ng8, 1.66, 1, 13023.540896438219, 476.493431978688, False, 1956
cyc2, 2.56, 1, 13023.540896438219, 565.5829626127652, False, 8116
SPPRC, 0.37, 1, 13023.540896438219, -11687.722691266506, False, 1379
ng8, 1.4, 1, 13023.54089643822, 4224.959633994036, False, 1650
cyc2, 2.2, 1, 13023.54089643822, 1074.8353216528176, False, 7400
SPPRC, 0.35, 1, 13023.54089643822, -9152.065884040474, False, 1352
ng8, 2.31, 1, 13023.540896438219, 5778.462389024404, False, 2512
cyc2, 2.29, 1, 13023.540896438219, 1401.4917240814175, False, 7597
SPPRC, 0.37, 1, 13023.540896438219, -14791.336969498592, False, 1433
ng8, 2.77, 1, 13023.54089643822, 7731.938544445244, False, 2431
cyc2, 2.06, 1, 13023.54089643822, 5435.9156160535495, False, 6322
SPPRC, 0.36, 1, 13023.54089643822, -4480.29158908006, False, 1338
ng8, 2.72, 1, 13023.540896438219, 6785.4435688173835, False, 2757
cyc2, 1.98, 1, 13023.540896438219, 4895.55352589243, False, 6204
SPPRC, 0.33, 1, 13023.540896438219, -255.2158173320022, False, 1188
ng8, 3.1, 1, 13023.540896438219, 8883.048273873821, False, 2237
cyc2, 2.34, 1, 13023.540896438219, 2716.8744000081388, False, 7459
SPPRC, 0.35, 1, 13023.540896438219, -6052.972835006669, False, 1281
ng8, 3.63, 1, 13022.264153399285, 10078.001733896714, False, 1844
cyc2, 2.58, 1, 13022.264153399285, 2517.6395482779863, False, 8108
SPPRC, 0.33, 1, 13022.264153399285, -2219.8074781209525, False, 1163
ng8, 3.87, 1, 13017.867606533375, 9634.576300750887, False, 1950
cyc2, 3.12, 1, 13017.867606533375, -95.0248097743588, False, 10637
SPPRC, 0.38, 1, 13017.867606533375, -6206.965262790687, False, 1392
ng8, 3.35, 1, 13017.867606533377, 10302.42030955672, False, 1166
cyc2, 2.56, 1, 13017.867606533377, 4486.646708419803, False, 7956
SPPRC, 0.35, 1, 13017.867606533377, -1324.921841569454, False, 1277
ng8, 2.62, 1, 13017.867606533375, 9288.488865504878, False, 1442
cyc2, 3.0, 1, 13017.867606533375, 1440.9658702575907, False, 9988
SPPRC, 0.37, 1, 13017.867606533375, -4477.783564510366, False, 1371
ng8, 4.69, 1, 13017.867606533375, 10616.916820788923, False, 1477
cyc2, 2.52, 1, 13017.867606533375, 3068.544318403001, False, 7983
SPPRC, 0.37, 1, 13017.867606533375, -5783.736171293567, False, 1393
ng8, 5.44, 1, 13017.867606533375, 11708.758551015391, False, 775
cyc2, 2.38, 1, 13017.867606533375, 4310.006111893092, False, 7277
SPPRC, 0.36, 1, 13017.867606533375, -4015.889889381451, False, 1314
ng8, 3.49, 1, 13015.296792200765, 9935.061072378678, False, 1204
cyc2, 2.2, 1, 13015.296792200765, 5906.489026288546, False, 6611
SPPRC, 0.34, 1, 13015.296792200765, -125.23272771036864, False, 1233
